0.00 L/min
0.00 L
0.00 L/min
0.00 L
0.00 L/min
0.00 L
0.00 L/min
0.00 L
0.00 L/min
0.00 L
0.00 L/min
0.00 L
0.00 L/min
0.00 L
0.00 L/min
0.00 L
0.00 L/min
0.00 L
0.00 L/min
0.00 L
0.66 L/min
0.01 L
2.44 L/min
0.05 L
2.66 L/min
0.10 L
2.44 L/min
0.14 L
3.10 L/min
0.19 L
3.77 L/min
0.25 L
3.77 L/min
0.31 L
4.21 L/min
0.38 L
4.43 L/min
0.46 L
4.43 L/min
0.53 L
4.43 L/min
0.61 L
4.65 L/min
0.68 L
4.65 L/min
0.76 L
4.65 L/min
0.84 L
4.65 L/min
0.92 L
4.65 L/min
0.99 L
4.65 L/min
1.07 L
4.65 L/min
1.15 L
4.65 L/min
1.23 L
4.65 L/min
1.30 L
4.65 L/min
1.38 L
4.43 L/min
1.45 L
4.43 L/min
1.53 L
4.65 L/min
1.61 L
4.43 L/min
1.68 L
4.43 L/min
1.75 L
4.21 L/min
1.82 L
3.99 L/min
1.89 L
3.32 L/min
1.95 L
2.88 L/min
1.99 L
2.21 L/min
2.03 L
1.99 L/min
2.06 L
1.77 L/min
2.09 L
0.22 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
2.10 L
0.00 L/min
